,Train No.,Train Name,No.of Coaches,Class of train,Revenue(lakhs),Day,Station_Name,Start_station,End_station,Frequency,No.Of PLatforms,Total Journey Hours,NO.Of passengers,Number of Dormitories,Dormitories Capacity,Dormitory utilized,Facility Quality Rating,Average Stay Duration,Revenue(THOUSANDS),Date,Month,Year
0,45125,Rajdhani Express,13,1,8,Tue,Bikaner,JDP,JSM,Twice in week,4,35,14261,432,32,29,4,7,68,11,3,2021
1,93534,Vande Bharat Express,21,3,9,Mon,Bikaner,JSM,KOTA,Twice in week,2,15,10672,432,28,30,4,12,72,12,3,2022
2,20688,BKN SF Express,16,2,8,Mon,Bikaner,JDP,JSM,Twice in week,4,29,17579,432,34,29,3,16,70,15,6,2020
3,53454,Suratgarh Express,18,3,5,Tue,Bikaner,UDP,DLI,Daily,3,25,29621,432,31,30,1,5,67,13,8,2020
4,33939,Rajdhani Express,10,2,7,Tue,Bikaner,UDP,JDP,Weekly,3,38,17967,432,25,31,4,21,66,18,4,2019
5,68873,Vande Bharat Express,10,1,5,Thu,Bikaner,Jpr,BKN,Twice in week,2,15,21164,432,20,20,2,20,65,25,8,2020
6,61410,Partap SF Express,22,1,9,Wed,Bikaner,UDP,KOTA,Daily,3,7,24168,432,31,22,4,10,65,17,10,2019
7,48086,Shatabdi Express,27,2,9,Fri,Bikaner,DLI,JDP,Twice in week,3,6,17866,432,21,27,2,20,72,23,8,2022
8,65271,Double Decker,26,2,6,Thu,Bikaner,JSM,UDP,Twice in week,3,40,25305,432,20,24,1,8,70,13,3,2022
9,38059,LEELAN SF Express,13,1,6,Wed,Bikaner,DLI,Jpr,Weekly,3,10,20658,432,25,22,2,14,72,25,10,2020
10,87213,Vande Bharat Express,17,3,7,Tue,Bikaner,Jpr,JDP,Daily,4,33,11555,432,27,30,3,23,68,26,7,2022
11,50851,Suratgarh Express,21,3,6,Wed,Bikaner,Jpr,UDP,Weekly,2,4,17693,432,23,30,3,7,66,1,6,2021
12,14632,Suratgarh Express,25,3,5,Thu,Bikaner,Jpr,BKN,Weekly,3,15,14645,432,24,34,4,5,72,6,1,2022
13,58034,Garbi Rath,27,1,9,Sat,Bikaner,JDP,JDP,Twice in week,4,14,21425,432,25,24,3,4,67,22,11,2022
14,34104,Shatabdi Express,16,1,6,Tue,Bikaner,BKN,JDP,Weekly,4,32,24546,432,24,21,4,23,65,23,1,2019
15,22277,Shatabdi Express,14,3,6,Fri,Bikaner,KOTA,Jpr,Daily,3,28,25137,432,28,26,3,15,73,17,8,2020
16,49655,Suratgarh Express,24,3,7,Wed,Bikaner,Jpr,Jpr,Daily,2,17,10622,432,24,32,3,9,67,23,6,2022
17,53867,Vande Bharat Express,10,3,7,Thu,Bikaner,JDP,JSM,Twice in week,4,31,16621,432,30,28,4,22,65,28,2,2022
18,30950,Garbi Rath,29,2,9,Fri,Bikaner,BKN,Jpr,Daily,3,30,29031,432,21,34,2,21,72,24,5,2022
19,88537,Partap SF Express,12,3,8,Tue,Bikaner,DLI,UDP,Twice in week,3,13,13150,432,34,34,3,14,67,3,8,2022
20,93455,Rajdhani Express,23,3,9,Tue,Bikaner,Jpr,UDP,Twice in week,1,10,14663,432,28,20,4,13,69,11,8,2020
21,84570,Kota SGNR SF SPL,13,1,9,Mon,Bikaner,Jpr,UDP,Daily,2,36,24549,432,25,33,4,23,65,30,3,2019
22,56922,Rajdhani Express,29,2,5,Wed,Bikaner,Jpr,BKN,Daily,2,11,11341,432,34,28,2,15,66,9,5,2019
23,80751,Suratgarh Express,19,2,9,Sat,Bikaner,JDP,UDP,Daily,2,15,11303,432,28,33,4,14,67,5,6,2022
24,56425,Garbi Rath,26,1,7,Sat,Bikaner,Jpr,Jpr,Daily,1,18,19360,432,27,30,1,6,73,11,9,2019
25,98682,Shatabdi Express,22,1,9,Tue,Bikaner,JDP,JDP,Daily,2,4,12220,432,32,29,4,6,74,1,11,2020
26,89481,Kota SGNR SF SPL,24,2,9,Fri,Bikaner,JDP,JSM,Weekly,1,11,23237,432,23,28,1,10,72,1,10,2020
27,40274,Shatabdi Express,20,2,5,Fri,Bikaner,JDP,JDP,Daily,1,18,20545,432,26,21,1,17,66,11,5,2022
28,43166,Vande Bharat Express,29,1,7,Mon,Bikaner,Jpr,JDP,Weekly,2,23,13653,432,23,24,4,4,69,15,8,2019
29,86910,BKN SF Express,19,2,8,Mon,Bikaner,Jpr,JSM,Weekly,4,4,16308,432,26,26,1,6,73,13,3,2019
30,24363,Shatabdi Express,15,1,8,Sun,Bikaner,JSM,JSM,Twice in week,2,17,28473,432,30,24,1,15,66,8,2,2019
31,62045,LEELAN SF Express,28,2,7,Thu,Bikaner,JSM,DLI,Daily,3,31,24475,432,28,31,4,4,70,28,1,2021
32,48722,Shatabdi Express,29,3,7,Tue,Bikaner,BKN,DLI,Daily,4,28,18273,432,27,26,3,8,65,17,7,2019
33,26491,Vande Bharat Express,22,2,9,Fri,Bikaner,UDP,KOTA,Daily,4,34,10234,432,34,24,3,9,67,25,6,2021
