,Train No.,Train Name,No.of Coaches,Class of train,Revenue(lakhs),Day,Station_Name,Start_station,End_station,Frequency,No.Of PLatforms,Total Journey Hours,NO.Of passengers,Number of Dormitories,Dormitories Capacity,Dormitory utilized,Facility Quality Rating,Average Stay Duration,Revenue(THOUSANDS),Date,Month,Year
0,86562,Ranikhet Epress,21,1,9,Sun,Jodhpur,RNT,UDP,Daily,3,22,10138,861,31,21,3,17,65,9,4,2019
1,94873,RNT SF Express,29,3,8,Thu,Jodhpur,BME,RNT,Twice in week,2,9,12337,861,26,29,3,19,71,24,4,2021
2,41587,Shatabdi Express,25,3,8,Mon,Jodhpur,RNT,BME,Daily,2,14,18829,861,23,24,3,19,74,21,10,2022
3,84298,Ranikhet Epress,20,2,9,Fri,Jodhpur,JDP,BKN,Daily,2,21,16269,861,24,26,4,17,66,25,1,2020
4,69141,JODHPUR INTERCITY SF Express,18,1,6,Thu,Jodhpur,Jpr,JSM,Weekly,1,28,23985,861,21,32,2,20,66,29,9,2022
5,93298,Marudhar Express,13,3,5,Thu,Jodhpur,JSM,BME,Twice in week,3,16,10800,861,31,26,4,17,73,10,11,2022
6,13379,Rajdhani Express,26,3,9,Mon,Jodhpur,BKN,UDP,Daily,2,12,18264,861,27,33,3,8,71,9,3,2019
7,67397,Shatabdi Express,24,1,5,Tue,Jodhpur,JDP,BME,Weekly,1,14,29888,861,30,31,3,15,72,24,1,2019
8,80606,Mandore SF EXpress,11,3,6,Fri,Jodhpur,RNT,JSM,Twice in week,1,5,28921,861,28,31,3,12,72,3,5,2022
9,79967,Ranikhet Epress,14,1,7,Mon,Jodhpur,RNT,JSM,Daily,1,18,29499,861,29,28,1,9,72,1,4,2021
10,73401,RNT SF Express,25,1,5,Fri,Jodhpur,RNT,JDP,Twice in week,2,20,13185,861,22,31,2,23,66,20,11,2020
11,82907,Mandore SF EXpress,20,1,9,Sun,Jodhpur,RNT,UDP,Twice in week,2,6,18490,861,31,30,1,14,72,12,8,2021
12,22517,Shatabdi Express,21,3,8,Sat,Jodhpur,UDP,JSM,Weekly,1,20,25366,861,31,30,1,10,74,24,9,2019
13,11982,RNT SF Express,11,1,8,Fri,Jodhpur,JSM,UDP,Daily,2,27,16458,861,31,31,3,7,72,2,1,2019
14,14879,Rameshwaram Humsafar Express,13,1,7,Wed,Jodhpur,BKN,JSM,Weekly,1,4,20021,861,30,20,2,11,71,29,9,2021
15,53757,JODHPUR INTERCITY SF Express,12,3,8,Wed,Jodhpur,UDP,Jpr,Daily,2,4,24049,861,28,22,4,4,74,24,11,2020
16,47374,Shatabdi Express,26,3,9,Sat,Jodhpur,JSM,Jpr,Weekly,3,9,15452,861,25,27,4,19,65,11,2,2019
17,78655,Ranikhet Epress,20,1,7,Fri,Jodhpur,JDP,BKN,Daily,1,28,17718,861,29,25,4,10,70,20,6,2020
18,29439,JODHPUR INTERCITY SF Express,14,1,5,Sun,Jodhpur,BME,BKN,Daily,3,33,27710,861,23,25,2,11,70,19,2,2019
19,49957,Shatabdi Express,11,1,5,Tue,Jodhpur,BME,RNT,Daily,1,12,24033,861,30,31,1,14,71,10,11,2019
20,46051,Barmer SF Express,28,2,5,Sun,Jodhpur,JSM,JSM,Weekly,3,6,12508,861,23,33,3,21,72,28,7,2022
21,91767,Double Decker,23,2,5,Tue,Jodhpur,JSM,BME,Twice in week,2,33,26834,861,24,22,2,5,68,3,7,2019
22,50035,Rameshwaram Humsafar Express,20,1,9,Sun,Jodhpur,JDP,UDP,Daily,1,13,27708,861,29,28,1,12,72,25,7,2022
23,79857,RNT SF Express,13,3,5,Tue,Jodhpur,JSM,BKN,Twice in week,2,34,16601,861,24,33,4,7,69,30,6,2019
24,96673,JODHPUR INTERCITY SF Express,20,2,6,Mon,Jodhpur,JDP,UDP,Daily,3,11,25969,861,27,22,4,9,74,6,11,2020
25,86051,Mandore SF EXpress,17,2,6,Mon,Jodhpur,RNT,RNT,Daily,1,17,24956,861,24,22,3,14,71,6,11,2020
26,97089,Barmer SF Express,18,3,6,Sat,Jodhpur,JSM,JDP,Daily,2,19,25911,861,30,25,2,17,74,10,7,2019
27,74562,Double Decker,18,3,8,Fri,Jodhpur,BME,Jpr,Daily,1,6,22566,861,27,24,4,8,67,23,9,2022
28,39735,Double Decker,25,2,6,Tue,Jodhpur,JDP,BME,Daily,3,30,26149,861,28,22,1,23,66,18,6,2019
29,16392,Rajdhani Express,27,2,7,Sun,Jodhpur,JDP,RNT,Weekly,2,8,29732,861,29,26,1,15,71,18,3,2022
30,36616,Double Decker,13,1,8,Sun,Jodhpur,BKN,UDP,Twice in week,1,16,15116,861,20,24,2,14,72,13,11,2022
31,90432,JODHPUR INTERCITY SF Express,10,2,5,Sun,Jodhpur,Jpr,RNT,Weekly,2,34,14793,861,26,22,2,4,67,7,5,2022
32,41011,JODHPUR INTERCITY SF Express,17,2,6,Mon,Jodhpur,Jpr,RNT,Daily,2,30,10954,861,25,20,3,13,66,26,10,2019
33,57254,Ranikhet Epress,22,3,7,Tue,Jodhpur,BKN,BME,Twice in week,1,34,11429,861,25,30,1,4,66,2,2,2020
