,Train No.,Train Name,No.of Coaches,Class of train,Revenue(lakhs),Day,Station_Name,Start_station,End_station,Frequency,No.Of PLatforms,Total Journey Hours,NO.Of passengers,Number of Dormitories,Dormitories Capacity,Dormitory utilized,Facility Quality Rating,Average Stay Duration,Revenue(THOUSANDS),Date,Month,Year
0,97130,Humsafar Express,14,2,7,Sun,Udaipur,UDP,BKN,Daily,3,15,17404,703,26,20,1,14,67,17,9,2019
1,82534,Chetak Express,17,2,10,Sat,Udaipur,Pali,JDP,Weekly,1,33,20223,703,21,29,3,22,66,9,10,2021
2,55077,Chetak Express,18,1,7,Thu,Udaipur,Mount Abu,UDP,Daily,5,31,23761,703,20,25,1,18,65,17,9,2020
3,42584,Shatabdi Express,27,2,7,Mon,Udaipur,JDP,Mount Abu,Twice in week,5,26,12052,703,26,21,1,16,60,23,3,2020
4,41822,Shatabdi Express,13,1,5,Mon,Udaipur,JDP,Jpr,Weekly,4,12,15965,703,20,29,1,7,65,14,1,2020
5,51406,Garbi Rath,27,3,8,Mon,Udaipur,Dli,Pali,Daily,3,29,15585,703,26,28,3,20,66,23,5,2019
6,20557,Chetak Express,23,2,13,Thu,Udaipur,Mount Abu,UDP,Twice in week,4,4,29757,703,27,24,1,8,61,29,8,2021
7,43253,Humsafar Express,13,3,6,Wed,Udaipur,UDP,Pali,Daily,1,18,28973,703,22,24,4,14,60,28,3,2020
8,93076,Vande Bharat Express,21,1,8,Sat,Udaipur,Pali,Jpr,Twice in week,5,10,22537,703,24,24,4,9,66,4,9,2020
9,62906,Chetak Express,10,1,11,Mon,Udaipur,Dli,BKN,Weekly,5,15,19910,703,24,23,3,7,66,29,4,2020
10,78441,Yoga Express,10,3,14,Sat,Udaipur,BKN,Pali,Daily,2,7,14749,703,20,23,2,18,61,16,6,2019
11,98147,Yoga Express,14,1,14,Fri,Udaipur,Jpr,Mount Abu,Daily,1,4,11429,703,27,22,4,8,62,1,6,2021
12,10464,Humsafar Express,25,2,10,Wed,Udaipur,Mount Abu,Dli,Twice in week,2,22,25332,703,29,20,2,21,67,18,8,2020
13,86217,Humsafar Express,15,1,6,Wed,Udaipur,Jpr,Pali,Weekly,1,11,21737,703,27,24,1,23,60,27,3,2021
14,32693,ALL Puri SF Express,12,2,13,Sat,Udaipur,Dli,JDP,Weekly,1,21,18345,703,25,28,3,18,62,9,11,2020
15,48027,Yoga Express,16,3,5,Fri,Udaipur,UDP,UDP,Daily,5,5,17105,703,26,21,4,19,71,18,7,2020
16,46919,ALL Puri SF Express,22,3,10,Thu,Udaipur,Pali,Dli,Twice in week,1,5,12398,703,22,22,1,8,67,17,2,2020
17,91635,Double Decker,12,1,6,Thu,Udaipur,JDP,Jpr,Twice in week,4,14,10691,703,24,20,1,18,64,15,3,2019
18,12061,Garbi Rath,22,3,5,Mon,Udaipur,Mount Abu,UDP,Daily,2,14,12244,703,23,23,2,23,68,6,6,2021
19,92555,Vande Bharat Express,21,3,10,Wed,Udaipur,Dli,Mount Abu,Daily,1,23,23576,703,27,26,2,17,70,30,2,2021
20,30779,Garbi Rath,18,2,7,Sat,Udaipur,Mount Abu,BKN,Twice in week,2,11,16746,703,23,28,3,11,64,23,11,2021
21,97636,Shatabdi Express,22,3,11,Fri,Udaipur,UDP,BKN,Weekly,3,9,20487,703,24,21,2,14,67,7,6,2019
22,24524,ALL Puri SF Express,10,2,12,Thu,Udaipur,Dli,JDP,Daily,2,8,24079,703,27,28,1,23,65,4,3,2021
23,31888,Humsafar Express,14,1,5,Sat,Udaipur,Dli,UDP,Daily,4,21,19854,703,25,24,4,13,64,19,5,2022
24,28598,Double Decker,11,3,5,Sat,Udaipur,UDP,Mount Abu,Weekly,3,16,29851,703,25,25,3,10,69,4,3,2019
25,43114,ALL Puri SF Express,11,2,6,Mon,Udaipur,Mount Abu,Jpr,Twice in week,1,14,14483,703,26,26,4,4,62,4,11,2020
26,70557,Dee Rzt Exp,11,3,14,Tue,Udaipur,Dli,Pali,Twice in week,3,7,15467,703,23,20,3,22,64,23,2,2019
27,49487,Chetak Express,14,2,5,Fri,Udaipur,Mount Abu,Dli,Weekly,3,4,29450,703,26,21,3,22,67,18,9,2020
28,69890,Yoga Express,25,3,10,Sat,Udaipur,JDP,JDP,Twice in week,5,25,22833,703,26,27,2,19,62,5,3,2019
29,61938,Yoga Express,29,1,9,Mon,Udaipur,Pali,JDP,Twice in week,2,6,27644,703,25,25,4,13,61,27,1,2020
30,79750,Shatabdi Express,29,2,10,Sat,Udaipur,UDP,Mount Abu,Twice in week,2,34,26738,703,22,22,4,20,63,9,2,2019
31,83331,Yoga Express,10,2,6,Wed,Udaipur,Dli,JDP,Twice in week,4,17,16595,703,27,20,4,16,68,2,10,2021
32,49723,Garbi Rath,25,3,11,Wed,Udaipur,Jpr,Dli,Daily,4,25,10970,703,24,21,1,22,70,26,2,2020
33,77592,Yoga Express,27,2,6,Wed,Udaipur,Jpr,Pali,Weekly,1,29,27436,703,21,28,1,21,65,5,11,2020
34,90722,Chetak Express,13,3,5,Mon,Udaipur,Mount Abu,Jpr,Twice in week,4,7,19102,703,26,26,2,21,63,26,11,2021
35,87850,Dee Rzt Exp,24,1,13,Sat,Udaipur,Jpr,Dli,Daily,5,17,17001,703,24,22,4,12,67,24,3,2021
36,53908,Vande Bharat Express,17,3,14,Wed,Udaipur,Mount Abu,BKN,Weekly,3,8,10668,703,29,21,1,6,70,9,10,2020
37,75081,ALL Puri SF Express,20,2,7,Mon,Udaipur,JDP,BKN,Twice in week,3,16,16236,703,27,27,3,23,71,19,1,2019
38,53725,Yoga Express,12,2,5,Fri,Udaipur,JDP,Mount Abu,Twice in week,3,13,21951,703,21,28,1,17,60,20,2,2022
39,31367,Double Decker,12,1,7,Tue,Udaipur,Pali,Jpr,Daily,5,18,18170,703,28,26,3,10,60,11,1,2020
40,44953,Garbi Rath,27,1,14,Sun,Udaipur,Mount Abu,UDP,Daily,1,25,25623,703,21,21,4,18,62,16,5,2021
41,44714,Dee Rzt Exp,18,1,5,Sun,Udaipur,Dli,Jpr,Daily,1,19,20494,703,29,28,3,14,60,3,3,2019
42,99834,Humsafar Express,28,1,10,Wed,Udaipur,Mount Abu,UDP,Daily,2,18,21639,703,25,25,4,14,66,18,7,2020
43,29378,Chetak Express,22,3,10,Mon,Udaipur,JDP,BKN,Daily,5,10,26424,703,21,29,1,6,68,21,9,2019
44,98650,Humsafar Express,20,1,14,Sat,Udaipur,JDP,Jpr,Daily,2,31,23496,703,22,21,1,13,65,29,5,2019
45,35190,Garbi Rath,23,2,8,Tue,Udaipur,Pali,BKN,Twice in week,5,12,20914,703,26,23,2,12,63,26,7,2021
46,74733,Dee Rzt Exp,16,1,11,Mon,Udaipur,UDP,JDP,Twice in week,5,28,17538,703,24,29,4,20,66,29,9,2020
47,52079,Chetak Express,12,3,5,Thu,Udaipur,JDP,Mount Abu,Daily,3,15,17616,703,27,24,3,22,62,23,6,2020
48,80757,Vande Bharat Express,26,2,9,Tue,Udaipur,JDP,Dli,Twice in week,1,15,17381,703,24,23,1,18,66,6,10,2019
49,63142,Garbi Rath,21,2,13,Tue,Udaipur,BKN,Mount Abu,Weekly,3,4,24474,703,20,26,4,12,66,19,3,2021
50,51606,Shatabdi Express,12,1,10,Mon,Udaipur,BKN,Mount Abu,Daily,1,19,12534,703,27,20,2,9,70,6,2,2019
51,99046,ALL Puri SF Express,26,1,13,Sat,Udaipur,Pali,UDP,Daily,4,22,25642,703,21,28,1,18,68,23,4,2021
52,65314,Rajdhani Express,20,1,11,Wed,Udaipur,Mount Abu,BKN,Weekly,5,10,22646,703,20,23,1,17,60,21,10,2022
53,22144,Chetak Express,11,2,14,Wed,Udaipur,BKN,Dli,Weekly,3,16,24465,703,29,27,1,16,70,2,8,2019
54,82032,Double Decker,14,2,7,Wed,Udaipur,Mount Abu,BKN,Daily,1,23,23259,703,20,26,1,8,70,10,5,2022
55,77789,Garbi Rath,10,1,8,Sat,Udaipur,UDP,UDP,Weekly,4,26,28720,703,23,23,2,22,61,2,4,2021
56,23032,Rajdhani Express,17,2,13,Sun,Udaipur,UDP,UDP,Daily,1,25,16941,703,22,21,1,17,68,11,8,2020
57,50794,Dee Rzt Exp,15,1,12,Mon,Udaipur,Jpr,Mount Abu,Twice in week,5,12,29371,703,24,27,1,20,63,18,8,2022
58,33326,Yoga Express,25,1,12,Thu,Udaipur,Dli,Dli,Daily,2,4,25832,703,21,26,4,10,71,19,8,2021
59,38133,Vande Bharat Express,13,2,13,Sat,Udaipur,Jpr,Pali,Weekly,2,34,29761,703,24,23,4,6,61,7,7,2019
60,15168,ALL Puri SF Express,12,2,13,Sun,Udaipur,Pali,Pali,Twice in week,5,15,17586,703,27,21,2,7,66,8,5,2021
61,74479,Yoga Express,23,1,13,Sat,Udaipur,Dli,BKN,Weekly,3,23,13585,703,20,29,2,15,66,7,4,2022
62,83536,Garbi Rath,14,2,5,Fri,Udaipur,Jpr,Mount Abu,Daily,5,20,26230,703,29,20,3,12,68,17,11,2022
63,62556,Vande Bharat Express,16,3,13,Mon,Udaipur,Dli,UDP,Daily,5,22,25887,703,21,23,1,6,62,18,7,2021
64,80459,Double Decker,19,1,5,Tue,Udaipur,JDP,Dli,Daily,5,28,15050,703,29,27,4,11,60,17,3,2019
65,50923,Dee Rzt Exp,10,3,5,Wed,Udaipur,Dli,Dli,Weekly,2,8,20914,703,24,24,1,14,64,4,6,2020
66,53791,Dee Rzt Exp,14,2,10,Thu,Udaipur,Pali,Jpr,Daily,2,10,27833,703,28,22,2,6,62,4,9,2021
67,26381,Humsafar Express,16,3,14,Fri,Udaipur,JDP,Dli,Daily,5,21,17355,703,21,22,4,20,70,22,10,2020
68,72799,Double Decker,13,2,12,Tue,Udaipur,Jpr,BKN,Daily,3,27,21417,703,21,22,1,16,71,27,8,2019
69,88157,Chetak Express,25,1,7,Sun,Udaipur,Mount Abu,BKN,Daily,3,25,17559,703,29,23,1,19,62,15,3,2022
70,21823,Rajdhani Express,17,1,8,Wed,Udaipur,BKN,Mount Abu,Weekly,5,22,18702,703,21,24,2,4,62,10,2,2022
71,40378,Double Decker,11,2,8,Fri,Udaipur,Dli,UDP,Twice in week,3,7,10772,703,24,29,1,23,63,17,5,2021
72,53718,Shatabdi Express,12,1,12,Wed,Udaipur,Dli,Dli,Daily,2,11,11811,703,29,24,2,18,60,20,9,2020
73,83979,Double Decker,26,2,5,Wed,Udaipur,JDP,BKN,Daily,5,3,13001,703,25,24,4,6,66,22,9,2020
74,36910,Chetak Express,23,1,14,Fri,Udaipur,JDP,BKN,Twice in week,1,22,28869,703,21,20,2,10,62,17,5,2021
75,77108,Humsafar Express,12,2,8,Fri,Udaipur,BKN,Dli,Twice in week,4,20,29548,703,22,24,4,5,68,9,6,2022
76,14942,Humsafar Express,23,3,9,Mon,Udaipur,Dli,Pali,Twice in week,3,31,19877,703,23,28,4,12,66,11,3,2021
77,19363,Vande Bharat Express,15,2,12,Sat,Udaipur,UDP,JDP,Daily,4,16,20383,703,24,21,3,17,64,19,2,2020
78,63449,Dee Rzt Exp,17,2,5,Sun,Udaipur,Dli,Jpr,Twice in week,2,8,23854,703,26,21,2,23,66,30,10,2021
79,45563,Rajdhani Express,25,3,6,Mon,Udaipur,Dli,Jpr,Weekly,3,10,17641,703,28,24,2,16,62,6,5,2019
80,76138,Vande Bharat Express,27,3,5,Tue,Udaipur,UDP,Pali,Twice in week,5,12,25471,703,23,22,2,16,68,26,10,2021
81,53859,Double Decker,13,2,6,Sat,Udaipur,Pali,BKN,Daily,4,31,29792,703,27,29,2,9,66,14,11,2021
82,79629,Garbi Rath,27,1,6,Sat,Udaipur,JDP,BKN,Weekly,5,13,26338,703,24,20,4,9,71,25,7,2021
83,91085,Double Decker,16,3,11,Mon,Udaipur,JDP,JDP,Twice in week,1,3,16387,703,22,27,4,11,61,7,2,2019
84,39827,Rajdhani Express,20,2,8,Wed,Udaipur,Mount Abu,Pali,Weekly,5,9,29873,703,23,27,4,12,66,29,7,2020
85,42919,Humsafar Express,19,3,13,Fri,Udaipur,JDP,Pali,Daily,3,29,12998,703,24,22,2,15,60,13,7,2021
86,62442,Garbi Rath,12,1,12,Sat,Udaipur,JDP,JDP,Daily,4,5,20471,703,25,24,3,12,71,12,7,2021
87,14223,Dee Rzt Exp,17,3,10,Sat,Udaipur,Dli,UDP,Daily,3,3,25091,703,28,20,4,10,65,9,5,2022
88,18622,ALL Puri SF Express,17,2,5,Sat,Udaipur,Pali,Mount Abu,Weekly,3,18,22211,703,27,27,2,22,60,14,7,2019
89,91833,Dee Rzt Exp,28,3,7,Mon,Udaipur,JDP,Jpr,Daily,5,24,27588,703,23,20,3,11,69,21,4,2020
90,49877,Humsafar Express,12,1,9,Thu,Udaipur,Dli,Dli,Daily,2,15,22810,703,24,24,1,23,64,3,3,2021
91,66821,Garbi Rath,14,2,10,Sun,Udaipur,Pali,BKN,Weekly,5,15,24951,703,24,26,2,8,69,28,4,2021
